title,description,category
The Romance of Three Kingdoms,"Romance of Three Kingdoms, dating to the 14th Century, is the legendary epic of the fall of Han and the founding of Jin. Dealing with plots, complex men, wars, intrigues, marriages and assassinations, this book, one of the four great Chinese classics, is foundational literature on a par with The Illiad or The Lay of the Cid.",Romance
三國演義,"[Romance of the Three Kingdoms] is one of the Four Great Classics in Chinese literature. It is a fictionalized history of the Three Kingdom period (220280) of Chinese history during which the famously celebrated heroes and strategists in Chinese history lived. In Traditional Chinese. Distributed by Tsai Fong Books, Inc.",Romance
三國志演義 : Romance of the three kingdoms,三國志演義 : Romance of the three kingdoms Guanzhong Luo,Romance
Lalla Rookh,"The daughter of the Mughal emperor is engaged to the young king of Bactria. She goes to meet him, but falls in love with a poet she meets on the way. As Lalla Rookh enters the palace of her bridegroom she is delighted to find that the poet of her affection was none other than the prince to whom she was engaged.",Romance
Family Romance of the French Revolution,"This latest work from an author known for her contributions to the new cultural history is a daring, multidisciplinary investigation of the imaginative foundations of modern politics. Hunt uses the term `Family Romance', (coined by Freud to describe the fantasy of being freed from one's family and belonging to one of higher social standing), in a broader sense, to describe the images of the familial order that structured the collective political unconscious. In a wide-ranging account that uses novels, engravings, paintings, speeches, newspaper editorials, pornographic writing, and revolutionary legislation about the family, Hunt shows that the politics of the French Revolution were experienced through the network of the family romance.",Romance
Historical Romance: Bahagia Selamanya (The Bridgertons: Happily Ever After),"Kadang akhir merupakan awal yang baru. Pada suatu waktu, seorang pengarang menciptakan sebuah keluarga... Tapi mereka bukan keluarga biasa. Delapan saudara, ditambah ibu ambisius yang memegang peranan besar dalam perjodohan anak-anaknya. Mereka adalah keluarga Bridgerton: keluarga bangsawan yang istimewa. Melalui delapan novel bestseller, para pembaca tertawa, menangis, jatuh cinta, dan menginginkan lebih. Lalu para pembaca bertanya kepada sang pengarang: Apa yang terjadi selanjutnya? Apakah Simon akhirnya membaca surat ayahnya? Apakah Francesca dan Michael menjadi orangtua? Siapakah yang memenangi pertandingan Pall Mall? Haruskah tamat menjadi akhir?",Romance
Romance of the Three Kingdoms,"“The world under heaven, after a long period of division, tends to unite; after a long period of union, tends to divide...” The Han dynasty is falling, the rebels and warlords fight each other for the hegemony in China. Who will bring peace to these lands? Romance of the Three Kingdoms, Written by Luo Guanzhong in the 14th century, is one of the four great Chinese classical novels. Discover it in this new edition with illustrations from MIng and Qing dynasties and the whole text in Simplified Chinese. Compare it using the Table of Contents!",Romance
Three Kingdoms Romance,"Three Heroes Swear Brotherhood In The Peach Garden; One Victory Shatters The Rebels In Battlegrounds. Domains under heaven, after a long period of division, tends to unite; after a long period of union, tends to divide. This has been so since antiquity. When the rule of the Zhou Dynasty weakened, seven contending kingdoms sprang up, warring one with another until the kingdom of Qin prevailed and possessed the empire. But when Qin’s destiny had been fulfilled, arose two opposing kingdoms, Chu and Han, to fight for the mastery. And Han was the victor. The rise of the fortunes of Han began when Liu Bang the Supreme Ancestor slew a white serpent to raise the banners of uprising, which only ended when the whole empire belonged to Han (BC 202). This magnificent heritage was handed down in successive Han emperors for two hundred years, till the rebellion of Wang Mang caused a disruption. But soon Liu Xiu the Latter Han Founder restored the empire, and Han emperors continued their rule for another two hundred years till the days of Emperor Xian, which were doomed to see the beginning of the empire’s division into three parts, known to history as The Three Kingdoms. But the descent into misrule hastened in the reigns of the two predecessors of Emperor Xian—Emperors Huan and Ling—who sat in the Dragon Throne about the middle of the second century. Emperor Huan paid no heed to the good people of his court, but gave his confidence to the Palace eunuchs. He lived and died, leaving the scepter to Emperor Ling, whose advisers were Regent Marshal Dou Wu and Imperial Guardian Chen Fan. Dou Wu and Chen Fan, disgusted with the abuses of the eunuchs in the affairs of the state, plotted the destruction for the power-abusing eunuchs. But Chief Eunuch Cao Jie was not to be disposed of easily. The plot leaked out, and the honest Dou Wu and Chen Fan were put to death, leaving the eunuchs stronger than before.",Romance
Partonopeu de Blois: (1967),Betrifft die Handschrift Cod. 113 der Burgerbibliothek Bern.,Romance
Ivanhoe: a Romance,"Ivanhoe: A Romance by Walter Scott is a historical novel published in three volumes, in 1819, as one of the Waverley novels. At the time it was written, the novel represented a shift by Scott away from writing novels set in Scotland in the fairly recent past to a more fanciful depiction of England in the Middle Ages. Ivanhoe proved to be one of the best-known and most influential of Scott's novels. Set in 12th-century England, with colourful descriptions of a tournament, outlaws, a witch trial, and divisions between Jews and Christians, Ivanhoe is credited for increased interest in chivalric romance and medievalism. John Henry Newman claimed that Scott ""had first turned men's minds in the direction of the Middle Ages"", while Thomas Carlyle and John Ruskin likewise asserted Scott's great influence upon the revival of interest in the medieval period, primarily based upon the publication of the novel Ivanhoe.[1] Moreover, Ivanhoe much influenced popular perceptions of Richard the Lionheart, King John, and Robin Hood.",Romance
Romance of the Three Kingdoms - Chinese,"Simplified Chinese version of ""San Guo Yanyi"" (Romance of the Three Kingdoms) by Luo Guan-Zhong, one of the four greatest Chinese classics. Edited by YeShell.",Romance
The Romance of Teresa Hennert,"The Romance of Teresa Hennert is a masterpiece of psychological realism and a still-shocking portrait of mixed motives and bad behavior. It renders a tragicomic vision of what happens when a society is suddenly deprived of the struggle that had defined it for more than a century. Written in 1922, just four years after Poland achieved independence from its neighboring empires, the novel focuses on a Warsaw community of officers, bureaucrats, intellectuals, wives, and lovers, all of them adrift in a hell of their own making—the long-sought freedom to shape their own destiny. At the center of this milieu is Teresa Hennert, whose youthful charm, modern habits, and apparent indifference to the emotional torment of those around her make her an inescapable object of their fascination and desire. Told in multiple voices and from numerous perspectives, Zofia Nalkowska's novel is a mosaic of dysfunction at all levels of the new Polish society, from a bumbling lieutenant who cannot stand his home life to a young Communist who believes his forebears have made a mess that only the next generation can clean up. In this world, ideological battles, personal animosity, postwar trauma, and infidelity become inextricably bound together, driving these colorful, increasingly confused characters toward corruption, suicide, and murder. Nalkowska (1884–1954), though long neglected in the West, was a central figure in the literary life of interwar Poland and was an early pioneer of feminist fiction in Central Europe. Her spare, witty prose will surprise contemporary readers with its frank sexuality and stark illustration of dreams gone horribly, humiliatingly, dramatically awry.",Romance
The Romance of Leonardo da Vinci,Reproduction of the original: The Romance of Leonardo da Vinci by Dmitry Sergeyevich Merezhkovsky,Romance
"Lallah Rookh, an Oriental Romance","Reprint of the original, first published in 1842.",Romance
The Monk: A Romance,Reproduction of the original.,Romance
Modern Love,"“My ideas of romance came from the movies,” said Woody Allen, and it is to the movies—as well as to novels, advice columns, and self-help books—that David Shumway turns for his history of modern love. Modern Love argues that a crisis in the meaning and experience of marriage emerged when it lost its institutional function of controlling the distribution of property, and instead came to be seen as a locus for feelings of desire, togetherness, and loss. Over the course of the twentieth century, partly in response to this crisis, a new language of love—“intimacy”—emerged, not so much replacing but rather coexisting with the earlier language of “romance.” Reading a wide range of texts, from early twentieth-century advice columns and their late twentieth-century antecedent, the relationship self-help book, to Hollywood screwball comedies, and from the “relationship films” of Woody Allen and his successors to contemporary realist novels about marriages, Shumway argues that the kinds of stories the culture has told itself have changed. Part layperson’s history of marriage and romance, part meditation on intimacy itself, Modern Love will be both amusing and interesting to almost anyone who thinks about relationships (and who doesn’t?).",Romance
Ivanhoe a Romance,"Ivanhoe is a historical novel by Sir Walter Scott, first published in 1819 (all first editions carry the date of 1820, however, it was released at the end of December 1819) in three volumes and subtitled A Romance. At the time it was written it represented a shift by Scott away from fairly realistic novels set in Scotland in the comparatively recent past, to a somewhat fanciful depiction of medieval England. It has proved to be one of the best known and most influential of Scott's novels.",Romance
"Ivanhoe: A Romance .: Historical Novel, Illustrated","Ivanhoe is a historical novel by Sir Walter Scott, first published in 1819 (all first editions carry the date of 1820, however, it was released at the end of December 1819) in three volumes and subtitled A Romance. At the time it was written it represented a shift by Scott away from fairly realistic novels set in Scotland in the comparatively recent past, to a somewhat fanciful depiction of medieval England. It has proved to be one of the best known and most influential of Scott's novels.Ivanhoe is set in 12th-century England, with colourful descriptions of a tournament, outlaws, a witch trial and divisions between Jews and Christians. It has been credited for increasing interest in romance and medievalism; John Henry Newman claimed Scott ""had first turned men's minds in the direction of the Middle Ages,"" while Carlyle and Ruskin made similar assertions of Scott's overwhelming influence over the revival, based primarily on the publication of this novel.It has also had an important influence on popular perceptions of Richard the Lionheart, King John, and Robin Hood.",Romance
The Romance of Tristan & Iseult,"Modern retelling of a medieval cycle of tales evolving from Celtic sources, in a version first published 1900. For other editions, see Author Catalog.",Romance
Flatland: A Romance of Many Dimensions,Reproduction of the original.,Romance
The Romance of Three Kingdoms,"""Romance of the Three Kingdoms, dating to the 14th Century, is the legendary epic of the fall of Han and the founding of Jin. Dealing with plots, complex men, wars, intrigues, marriages and assassinations, this book, one of the four great Chinese classics, is foundational literature on a par with The Illias or The Lay of the Cid.""--Back cover of vol. 1.",Romance
Romance of the Three Kingdoms (English Edition),"Romance of the Three Kingdoms is a 14th-century historical novel attributed to Luo Guanzhong. It is set in the turbulent years towards the end of the Han dynasty and the Three Kingdoms period in Chinese history, starting in 169 AD and ending with the reunification of the land in 280.The story - part historical, part legend, and part mythical - romanticises and dramatises the lives of feudal lords and their retainers, who tried to replace the dwindling Han dynasty or restore it. While the novel follows hundreds of characters, the focus is mainly on the three power blocs that emerged from the remnants of the Han dynasty, and would eventually form the three states of Cao Wei, Shu Han, and Eastern Wu. The novel deals with the plots, personal and military battles, intrigues, and struggles of these states to achieve dominance for almost 100 years.",Romance
西廂记,"本剧描述了崔莺莺和张生为争取婚姻自由历尽曲折艰辛之后,终成眷属的爱情故事,揭露了包办婚姻和封建礼教的罪恶。",Romance
Once a Soldier,"All's fair in love and war... As heir to a title, Will Masterson should have stayed home and tended his responsibilities. Instead, he went to war. After years fighting the French, he intends his current mission to be his last. But all his plans are forgotten when he arrives in the small mountain stronghold of San Gabriel and meets her. Knowing herself to be too tall, strong and unconventional, Athena Markham has always gloried in her independence. Yet for the first time in her life, she finds a man who might be her match. Two of a kind, too brave for their own good, Athena and Will vow to do whatever it takes to vanquish San Gabriel’s enemies, while finding a love deeper than they’d ever imagined. A thrilling historical romance for fans of Mary Balogh and Stephanie Laurens.",Romance
